GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hackemotion,com.ai.hackemotion.dto.request,EmotionAssignmentRequest,9,0,0,0,4,0,1,0,1,0
hackemotion,com.ai.hackemotion.security.filter,JwtFilter,63,0,10,0,15,0,6,0,1,0
hackemotion,com.ai.hackemotion.security.service.impl,JwtServiceImpl,111,3,4,0,30,1,12,1,10,1
hackemotion,com.ai.hackemotion.config.web,WebConfig,0,44,0,0,0,7,0,3,0,3
hackemotion,com.ai.hackemotion.config.security,SecurityConfig,0,95,0,0,0,20,0,5,0,5
hackemotion,com.ai.hackemotion.controller,RatingController,19,6,0,0,4,3,2,1,2,1
hackemotion,com.ai.hackemotion.controller,FileUploadController,32,6,0,0,10,3,1,1,1,1
hackemotion,com.ai.hackemotion.controller,AuthenticationController,18,0,0,0,5,0,3,0,3,0
hackemotion,com.ai.hackemotion.controller,AssetController,171,103,6,2,27,28,13,5,10,4
hackemotion,com.ai.hackemotion.controller,RatingController.RatingResponse,21,0,0,0,1,0,4,0,4,0
hackemotion,com.ai.hackemotion.controller,EmotionController,2,6,0,0,1,3,1,1,1,1
hackemotion,com.ai.hackemotion.controller,MessagesController,17,3,0,0,1,1,1,1,1,1
hackemotion,com.ai.hackemotion,HackemotionApplication,5,3,0,0,2,1,1,1,1,1
hackemotion,com.ai.hackemotion.enums,EmotionType,39,0,0,0,7,0,1,0,1,0
hackemotion,com.ai.hackemotion.enums,EmailTemplateName,0,18,0,0,0,5,0,2,0,2
hackemotion,com.ai.hackemotion.entity,User,15,0,0,0,3,0,2,0,2,0
hackemotion,com.ai.hackemotion.config,BeansConfig,0,21,0,0,0,6,0,3,0,3
hackemotion,com.ai.hackemotion.config.swagger,SwaggerConfig,0,17,0,0,0,6,0,2,0,2
hackemotion,com.ai.hackemotion.service.impl,AssetServiceImpl,0,122,0,2,0,29,0,8,0,7
hackemotion,com.ai.hackemotion.service.impl,RatingServiceImpl,131,3,8,0,29,1,9,1,5,1
hackemotion,com.ai.hackemotion.service.impl,EmailServiceImpl,70,4,2,0,19,1,2,1,1,1
hackemotion,com.ai.hackemotion.service.impl,AuthenticationServiceImpl,5,228,0,6,0,55,1,11,1,8
hackemotion,com.ai.hackemotion.service.impl,EmotionServiceImpl,11,6,0,0,5,3,1,1,1,1
hackemotion,com.ai.hackemotion.service.impl,UserDetailsServiceImpl,14,0,0,0,2,0,2,0,2,0
hackemotion,com.ai.hackemotion.service.impl,FinalAssetEmotionServiceImpl,6,67,0,0,0,20,1,2,1,2
hackemotion,com.ai.hackemotion.service.impl,AmazonS3ServiceImpl,44,21,0,0,10,8,2,1,2,1
